"name","BMid","status","street","city","state","zip","country","phone","rating","lat","lng"
"Against The Grain Brewery and Smokehouse","14738","Brewpub","401 East Main St.","Louisville","KY","40202","United States","(502) 515-0174","81.6667","38.2554482","-85.7462517"
"Asheville Brewing Company","55","Brewery","77 Coxe Avenue","Asheville","NC","28804","United States","(828) 254-1281","82.91665","35.59167","-82.5574796"
"Beachwood BBQ and Brewing","14344","Brewpub","210 E. Third St.","Long Beach","CA","90802","United States","(562) 436-4020","92.499975","33.769962","-118.1930917"
"Brewery Ommegang","215","Brewery","656 County Hwy 33","Cooperstown","NY","13326","United States","(800) 544-1809","88.66669","42.6269","-74.9453"
"Church Brew Works","289","Brewpub","3525 Liberty Avenue","Pittsburgh","PA","15201","United States","(412) 688-8200","78.999995","40.461952","-79.9666204"
"Cigar City Brewing","9727","Brewery","3924 W Spruce St, Suite A","Tampa","FL","33612","United States","(813) 348-6363","89.166725","27.9590057","-82.5113798"
"Dogfish Head Craft Brewery","369","Brewery","6 Village Center Boulevard","Milton","DE","19968","United States","(302) 684-1000","92.77775","38.7706262","-75.3130817"
"Hill Farmstead Brewery","12393","Brewery","403 Hill Road","Greensboro Bend","VT","05842","United States","802-533-7450","89.16675","44.6072776","-72.2642255"
"Jester King Craft Brewery","13221","Brewery","13005 Fitzhugh Rd.","Austin","TX","78736","United States","(512) 364-7278","100","30.2307093","-98.0014291"
"Maui Brewing Co - Brewpub","820","Brewpub","4405 Honoapiilani Highway","Lahaina","HI","96761","United States","(808) 669-3474","91.6667","20.7496051","-156.4409365"
"Monhegan Brewing Company",NA,"Brewpub","1 Boody Lane","Monhegan","ME","04852","United States","(207) 975-3958","0","43.758618","-69.321126"
"New Belgium Brewing Inc.","900","Brewery","500 Linden Street","Fort Collins","CO","80524","United States","(970) 221-0524","88.83338","40.5928411","-105.0707897"
"Pelican Pub and Brewery","992","Brewpub","33180 Cape Kiwanda Dr.","Pacific City","OR","97135","United States","(503) 965-7007","92.619064285714","45.2151506","-123.9726305"
"Russian River Brewing Company","1145","Brewpub","725 4th St.","Santa Rosa","CA","95404","United States","(707) 545-2337","90.909154545454","38.4418067","-122.7137339"
"Sierra Nevada Brewing Co.","1200","Brewpub","1075 E. 20th Street","Chico","CA","95928","United States","(530) 893-3520","92.222266666666","39.7225465","-121.8218357"
"Stone Brewing Co. - World Bistro and Gardens","1277","Brewpub","1999 Citracado Parkway","Escondido","CA","92029","United States","(760) 471-4999","95.75760909091","33.115861","-117.119515"
"Three Floyds Brewing LLC","1321","Brewpub","9750 Indiana Parkway","Munster","IN","46321","United States","(219) 922-3565","84.61548076923","41.536289","-87.5158"
"Tired Hands Brewing Company","15787","Brewpub","16 Ardmore Ave","Ardmore","PA","19003","United States","(610) 896-7621","91.666675","40.00859","-75.293651"
"Tree House Brewing Co","16999","Brewery","63 St. Clair Road","Brimfield","MA","01010","United States","(413) 949-1891","81.6667","42.0890064","-72.3351498"
"Yuengling Brewery","1440","Brewery","5th and Mahantongo Streets","Pottsville","PA","17901","United States","(570) 628-4890","88.749925","40.6838066","-76.2197658"
