"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"1","3 Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"2","3 Floyds Brewing Company","Permanent Funeral","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"3","3 Floyds Brewing Company","French Vanilla Militia","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"4","3 Floyds Brewing Company","Zombie Dust","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"5","3 Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"6","3 Floyds Brewing Company","Dreadnaught IPA","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"7","3 Floyds Brewing Company","3 Floyds / The Bruery - Rue D'Floyd","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"8","4 Hands Brewing Company","Madagascar","1220 S 8th St","","St. Louis","MO","63104","38.61512727",-90.19651874
"9","AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee","9990 AleSmith Ct","","San Diego","CA","92126","32.888186",-117.1498484
"10","AleSmith Brewing Company","AleSmith Speedway Stout","9990 AleSmith Ct","","San Diego","CA","92126","32.888186",-117.1498484
"11","AleSmith Brewing Company","AleSmith Speedway Stout - Kopi Luwak","9990 AleSmith Ct","","San Diego","CA","92126","32.888186",-117.1498484
"12","AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","9990 AleSmith Ct","","San Diego","CA","92126","32.888186",-117.1498484
"13","AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","9990 AleSmith Ct","","San Diego","CA","92126","32.888186",-117.1498484
"14","Allagash Brewing Company","Allagash Cuv?e D'Industrial","50 Industrial Way","","Portland","ME","4103","43.7031477",-70.3198819
"15","Allagash Brewing Company","Allagash Coolship Red","50 Industrial Way","","Portland","ME","4103","43.7031477",-70.3198819
"16","Alpine Beer Company","Hoppy Birthday","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"17","Alpine Beer Company","Duet","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"18","Alpine Beer Company","Pure Hoppiness","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"19","Alpine Beer Company","Bad Boy","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"20","Alpine Beer Company","Nelson","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"21","Alpine Beer Company","Exponential Hoppiness","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"22","Alpine Beer Company","Keene Idea","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"23","Alpine Beer Company","Great","2363 Alpine Blvd","","Alpine","CA","91901","38.61512727",-90.19651874
"24","Anchorage Brewing Company","A Deal With The Devil","148 West 91st Ave?","","Anchorage","AK","99515","32.834679",-116.762684
"25","Anchorage Brewing Company","Bitter Monk","148 West 91st Ave?","","Anchorage","AK","99515","32.834679",-116.762684
"26","Aslin Beer Company","Master Of Karate","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"27","Aslin Beer Company","Orange Starfish","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"28","Aslin Beer Company","Mind The Hop","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
