"Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"3 Floyds Brewing Company","Molten Mirrors","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"3 Floyds Brewing Company","Crack The Skye","9750 Indiana Pkwy","","Munster","IN","46321","41.5353502",-87.5165134
"4 Hands Brewing Company","Volume 4","1220 S 8th St","","St. Louis","MO","63104","38.61512727",-90.19651874
"Aeronaut Brewing Company","Robot Crush","14 Tyler St","","Somerville","MA","2143","42.3820176",-71.1085094
"Alaskan Brewing Company","Alaskan Perseverance Russian Imperial Stout (30th Anniversary)","5429 Shaune Dr","","Juneau","AK","99801","58.3570506",-134.4893335
"Alaskan Brewing Company","Alaskan Smack Of Grapefruit IPA (Pilot Series)","5429 Shaune Dr","","Juneau","AK","99801","58.3570506",-134.4893335
"AleSmith Brewing Company","AleSmith Speedway Stout - Mokasida","9990 AleSmith Ct","","San Diego","CA","92126","32.888186",-117.1498484
"Allagash Brewing Company","Allagash Émile","50 Industrial Way","","Portland","ME","4103","43.7031477",-70.3198819
"Allagash Brewing Company","Allagash Hoppy Table Beer","50 Industrial Way","","Portland","ME","4103","43.7031477",-70.3198819
"Almanac Beer Company","Vanilla Cherry Dogpatch","2704 24th St","","San Francisco","CA","94110","37.7601367",-122.4057696
"Almanac Beer Company","Hoppy Sour: El Dorado","2704 24th St","","San Francisco","CA","94110","37.7601367",-122.4057696
"Almanac Beer Company","Coffee Barbary Coast","2704 24th St","","San Francisco","CA","94110","37.7601367",-122.4057696
"American Solera","Foeder Cerise","1801 S 49th W Ave","","Tulsa","OK","74107","36.1375705",-96.0487527
"Anchorage Brewing Company","Love And The Death Of Damnation","148 West 91st Ave?","","Anchorage","AK","99515","32.834679",-116.762684
"Angry Chair Brewing","Imperial German Chocolate Cupcake Stout","6401 N Florida Ave","","Tampa","FL","33604","28.0051338",-82.4614774
"Aslin Beer Company","Double Orange Starfish","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"Aslin Beer Company","Johann And The Giant Peach","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"Aslin Beer Company","Johann The Mango Thief","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"Aslin Beer Company","Double Dry Hopped Neutrino","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"Aslin Beer Company","Laser Raptors","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"Aslin Beer Company","Master Of Oranges","1330 N Forest St","","Bellingham","WA","98225","61.1385354",-149.8893299
"August Schell Brewing Company","Schell's Cave-Aged Barrel-Aged Series #3","1860 Schell's Rd","","New Ulm","MN","56073","44.2896307",-94.4511625
"August Schell Brewing Company","Schell's Snowstorm 2016","1860 Schell's Rd","","New Ulm","MN","56073","44.2896307",-94.4511625
"August Schell Brewing Company","Schell's Stag Series #10 - Tropical Stout","1860 Schell's Rd","","New Ulm","MN","56073","44.2896307",-94.4511625
"Avery Brewing Company","Apricot Sour","4910 Nautilus Ct","","Boulder","CO","80301","48.74801531",-122.4754509
"Ballast Point Brewing Company","Manta Ray Double India Pale Ale","9045 Carroll Way","","San Diego","CA","92121","32.88798083",-117.1587251
"Barrel House Z (BHZ)","Sunny & 79°","95 Woodrock Rd","","East Weymouth","MA","2189","42.192475",-70.9300517
"Barrier Brewing Company","Tanto","3001 New St ","A2","Oceanside","NY","11572","40.6392062",-73.6583057
"Barrier Brewing Company","The Hills Have Hops","3001 New St ","A2","Oceanside","NY","11572","40.6392062",-73.6583057
"Barrier Brewing Company","Don't Sweat The Technique","3001 New St ","A2","Oceanside","NY","11572","40.6392062",-73.6583057
"Baxter Brewing Company","Bootleg Fireworks 3rd Edition","130 Mill St","","Lewiston","ME","4240","44.0952036",-70.2213117
"Bearded Iris Brewing","Double Homestyle","101 Van Buren St","","Nashville","TN","37208","36.1813046",-86.786279
"Bearded Iris Brewing","Red Handed","101 Van Buren St","","Nashville","TN","37208","36.1813046",-86.786279
"Bearded Iris Brewing","Scatterbrain","101 Van Buren St","","Nashville","TN","37208","36.1813046",-86.786279
