"Beer","Style"
"(512) Export Lager","Dortmunder Export Lager"
"(512) PALE","American Pale Ale"
"(512) Wild Bear","Double Brown Sour Ale"
"Long Walk","Texas Grapefruit IPA"
"Renewal","Tamarind Wheat Ale"
"Melo Rainbow","Saison"
"Pompous Monkey","Hefeweizen"
"Tripel B","Tripel"
"Pablo's Wild Pale Ale","Brett Pale Ale"
"Alamo Pilsner","Pilsner"
"Alamo Oktoberfest","Marzen"
"Heavy Machinery Belgian IPA","Belgian-style IPA"
"Heavy Machinery Wet Hop IPA","Wet Hop IPA"
"Montecore","Oktoberfest"
"Bloodwork Orange","Blood Orange IPA"
"Sputnik (2015)","Russian Imperial Coffee Oatmeal Stout"
"Saison Hop - Orbit","Saison / Farmhouse Ale"
"Berliner Hop","Berliner-Weisse"
"Barrel-aged SW15","Rauchdoppelbock aged in Scotch barrels"
"El Corazon","American Lager"
"Balmorhea dry-hopped w/ Mosaic","Imperial Berliner Weisse"
"Blood & Treasure","Barrel-aged Russian Imperial Stout"
"Marfa Light","Russian Imperial Stout"
"Pneuma","Pale Ale"
"Waterloo","Watermelon Berliner Weisse"
"Ted Talk","Double IPA"
"Contract Killer","Coffee Porter"
"Timber Snake IPA","American IPA"
"Hop Totem","Sour IPA"
"Czech Czech","Sour Pils"
"Little Gose","Gose"
"Wet Hops Van Dayum!","Sour American Red Ale w/ Simcoe Wet Hops"
"Wine barrel-aged Saison Puede","Wine barrel-aged Saison"
"Dry Hopped Wheat","American Pale Wheat / Session IPA"
"GRITz","Classic American Cream Ale"
"Idle Playthings","Belgian Golden Strong Ale"
"7 Spanish Angels","Coffee Brown"
"Mama Tried IPA","Texas IPA"
"Scottish Beer","Scottish Light 60 Shilling"
"English Beer","English Bitter"
"1836","Cooper Ale"
"Don't Fear the RIPA","Rye IPA"
"Patio Pounder","Pale Lager"
"Barrel Aged Spinning Mule","Robust Porter"
"BLUR","Texas Hefe"
"Tuxedo Tshirt","Black IPA"
"Doppel Blur","Imperial Hefe"
"Mosaic IPA","India Pale Ale"
"Community Witbier","Belgian White Ale With Orange Peel & Coriander"
"Yessir!","Pale Ale"
"Texas Helles","German Style Lager"
"Divinity","Barrel Aged Wild Ale"
"Deep Ellum IPA","India Pale Ale"
"Neato Bandito","Imperial Mexican-Style Lager"
"Hatch Chili Stout","Brown Ale"
