"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
1,"Good Morning","Tree House Brewing Company","American Double / Imperial Stout","8.40% ABV",4.72,56,870
2,"Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.69,173,484
3,"Mornin' Delight","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.68,32,747
4,"Pliny The Younger","Russian River Brewing Company","American Double / Imperial IPA","11.00% ABV",4.66,186,2775
5,"Heady Topper","The Alchemist","American Double / Imperial IPA","8.00% ABV",4.66,59,11731
6,"Dinner","Maine Beer Company","American Double / Imperial IPA","8.20% ABV",4.63,48,1428
7,"Founders CBS Imperial Stout","Founders Brewing Company","American Double / Imperial Stout","10.60% ABV",4.62,191,4004
8,"Bourbon Barrel Aged Vanilla Bean Dark Lord","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.61,91,1316
9,"Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)","10.20% ABV",4.6,14,5775
10,"Julius","Tree House Brewing Company","American IPA","6.80% ABV",4.6,105,2193
11,"Pliny The Elder","Russian River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.6,99,13246
12,"Bourbon County Brand Coffee Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.40% ABV",4.59,1,6494
13,"King Julius","Tree House Brewing Company","American Double / Imperial IPA","8.30% ABV",4.58,143,228
14,"Rare Bourbon County Brand Stout (2015)","Goose Island Beer Co.","American Double / Imperial Stout","14.50% ABV",4.57,154,348
15,"Fundamental Observation","Bottle Logic Brewing","American Double / Imperial Stout","14.30% ABV",4.57,164,304
16,"Barrel-Aged Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","11.00% ABV",4.56,193,1108
17,"Sip Of Sunshine","Lawson's Finest Liquids","American IPA","8.00% ABV",4.56,117,3339
18,"Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company","American Double / Imperial Stout","11.20% ABV",4.56,69,10943
19,"Abner","Hill Farmstead Brewery","American Double / Imperial IPA","8.20% ABV",4.56,111,2338
20,"Focal Banger","The Alchemist","American IPA","7.00% ABV",4.55,45,1705
21,"Citra Double IPA","Kern River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.55,116,1561
22,"King Sue","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.54,23,1160
23,"Double Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","8.00% ABV",4.54,106,1981
24,"Morning Wood","Funky Buddha Brewery","American Porter","12.00% ABV",4.54,143,300
25,"Green","Tree House Brewing Company","American IPA","7.60% ABV",4.54,42,1161
26,"Zombie Dust","3 Floyds Brewing Co.","American Pale Ale (APA)","6.20% ABV",4.53,7,9067
27,"Parabola","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.53,3,5777
28,"Artaic","Trillium Brewing Company","American Double / Imperial IPA","8.50% ABV",4.53,176,562
29,"Ann","Hill Farmstead Brewery","Saison / Farmhouse Ale","6.50% ABV",4.51,158,261
30,"SR-71 Blackbird (2015)","Toppling Goliath Brewing Company","American Double / Imperial Stout","14.00% ABV",4.51,119,355
31,"PseudoSue","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80% ABV",4.51,124,3217
32,"Triple Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","10.50% ABV",4.51,136,501
33,"Double Galaxy","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.51,53,1020
34,"Cantillon Fou' Foune","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.5,138,2532
35,"Alter Ego","Tree House Brewing Company","American IPA","6.80% ABV",4.5,29,773
36,"In Perpetuity","Tree House Brewing Company","American IPA","6.70% ABV",4.5,155,268
37,"Duck Duck Gooze","The Lost Abbey","American Wild Ale","7.00% ABV",4.5,86,1547
38,"Hunahpu's Imperial Stout","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.5,167,3595
39,"Bourbon County Brand Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.80% ABV",4.5,68,11197
40,"Supplication","Russian River Brewing Company","American Wild Ale","7.00% ABV",4.49,8,5830
41,"Bell's Black Note Stout","Bell's Brewery, Inc.","American Double / Imperial Stout","11.40% ABV",4.49,149,3767
42,"Cantillon Blåbær Lambik","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.49,79,677
