"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,989,69,"160 E Hill Rd","","Monson","MA","01057"
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,518,176,"310 College Dr","","Decorah","IO","52101"
3,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,948,45,"310 College Dr","","Decorah","IO","52101"
4,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2968,181,"725 4th St","","Santa Rosa","CA","95404"
5,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.66,597,23,"160 E Hill Rd","","Monson","MA","01057"
6,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.66,12684,60,"35 Crossroad","","Waterbury","VT","05676"
7,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.65,149,137,"215 Arch St","","Meadville","PA","16335"
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1280,25,"3924 W Spruce St","","Tampa","FL","33607"
9,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.64,424,163,"160 E Hill Rd","","Monson","MA","01057"
10,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1794,76,"525 US Route 1","","Freeport","ME","04032"
11,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.63,1417,93,"9750 Indiana Pkwy","","Munster","IN","46321"
12,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4223,184,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3009,129,"160 E Hill Rd","","Monson","MA","01057"
14,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.62,319,155,"160 E Hill Rd","","Monson","MA","01057"
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,339,161,"160 E Hill Rd","","Monson","MA","01057"
16,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6094,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
17,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,13955,97,"725 4th St","","Santa Rosa","CA","95404"
18,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.59,572,24,"1072 N Armando St","","Anaheim","CA","92806"
19,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.59,1209,22,"8125 Michigan Ave","","Saint Louis","MI","63111"
20,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.58,1519,49,"310 College Dr","","Decorah","IO","52101"
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6820,3,"1800 W Fulton St","","Chicago","IL","60612"
22,"The Alchemist","Focal Banger","American IPA","7.00%",4.57,2286,84,"35 Crossroad","","Waterbury","VT","05676"
23,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2451,110,"403 Hill Rd","","Greensboro Bend","VT","05842"
24,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,11907,95,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
25,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.56,308,138,"160 E Hill Rd","","Monson","MA","01057"
26,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4157,133,"Not Open to Public","","Warren","VT","05674"
27,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.55,478,162,"1201 NE 38th St","","Oakland Park","FL","33334"
28,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,1866,85,"160 E Hill Rd","","Monson","MA","01057"
