"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company","Madagascar",198,"Milk / Sweet Stout","9.30%",4.38,617,158,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged",102,"American Double / Imperial Stout","12.00%",4.45,2050,111,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company","AleSmith Speedway Stout",213,"American Double / Imperial Stout","12.00%",4.37,6605,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee",169,"American Double / Imperial Stout","12.00%",4.4,1649,39,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)",27,"American Double / Imperial Stout","12.00%",4.56,586,156,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company","Exponential Hoppiness",199,"American Double / Imperial IPA","11.00%",4.37,1292,120,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Nelson",203,"American IPA","7.00%",4.37,4031,172,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Great",179,"American Barleywine","14.00%",4.39,648,45,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Bad Boy",145,"American Double / Imperial IPA","9.00%",4.41,549,30,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Keene Idea",109,"American Double / Imperial IPA","8.88%",4.44,445,153,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company","A Deal With The Devil",120,"American Barleywine","17.30%",4.43,945,29,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company","Mind The Hop",243,"American Double / Imperial IPA","9.50%",4.35,83,86,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company","Master Of Karate",43,"American Double / Imperial IPA","8.40%",4.51,160,138,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company","Orange Starfish",150,"American IPA","5.70%",4.41,124,88,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company","Tweak",183,"American Double / Imperial Stout","17.81%",4.39,2070,87,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company","Callipygian",227,"American Double / Imperial Stout","17.10%",4.36,355,159,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company","Uncle Jacob's Stout",250,"American Double / Imperial Stout","17.10%",4.34,2542,119,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company","Victory At Sea Coffee Vanilla Imperial Porter",246,"American Porter","10.00%",4.35,6672,5,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company","Sculpin IPA",197,"American IPA","7.00%",4.38,13520,65,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan","Weihenstephaner Hefeweissbier",163,"Hefeweizen","5.40%",4.4,8112,66,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.","Bell's Black Note Stout",60,"American Double / Imperial Stout","11.40%",4.49,4025,150,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.","Hopslam Ale",112,"American Double / Imperial IPA","10.00%",4.44,12640,98,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company","Swish",47,"American Double / Imperial IPA","8.00%",4.5,947,34,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
