"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company",202,"Madagascar","Milk / Sweet Stout","9.30%",4.38,622,161,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company",218,"AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6632,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",24,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,628,166,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",170,"AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1690,42,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",106,"AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2063,119,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company",206,"Nelson","American IPA","7.00%",4.37,4037,178,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",204,"Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1299,131,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",150,"Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,32,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",183,"Great","American Barleywine","14.00%",4.39,650,45,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company",127,"A Deal With The Devil","American Barleywine","17.30%",4.43,950,30,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company",158,"Orange Starfish","American IPA","5.70%",4.41,130,97,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",230,"Mind The Hop","American Double / Imperial IPA","9.50%",4.36,87,94,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",50,"Master Of Karate","American Double / Imperial IPA","8.40%",4.5,180,151,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company",211,"Callipygian","American Double / Imperial Stout","17.10%",4.37,377,171,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",185,"Tweak","American Double / Imperial Stout","17.50%",4.39,2143,99,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",245,"Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.34,2570,129,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company",214,"Sculpin IPA","American IPA","7.00%",4.37,13584,66,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company",243,"Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6712,5,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan",169,"Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8136,67,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.",114,"Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12647,107,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.",61,"Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4121,158,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company",48,"Swish","American Double / Imperial IPA","8.00%",4.51,991,39,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company",74,"Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,724,188,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company",239,"Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,905,24,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boston Beer Company (Samuel Adams)",168,"Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2477,150,"30 Germania St","","Jamaica Plain","MA","2130"
"Bottle Logic Brewing",197,"Leche Borracho","American Double / Imperial Stout","11.00%",4.38,257,143,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",178,"Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.39,367,156,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",17,"Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,708,37,"1072 N Armando St","","Anaheim","CA","92806"
"Brasserie Cantillon",43,"Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2804,147,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",60,"Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,770,90,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",137,"Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1251,102,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",210,"Cantillon Lou Pepe - Gueuze","Gueuze","5.00%",4.37,1106,72,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",87,"Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1689,121,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",139,"Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2015,140,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie de Rochefort",80,"Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9065,69,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
"Brasserie Dieu du Ciel!",208,"Péché Mortel En Fût De Bourbon Américain","American Double / Imperial Stout","9.50%",4.37,447,187,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brasserie Dieu du Ciel!",186,"Péché Mortel","American Double / Imperial Stout","9.50%",4.39,5015,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brouwerij Drie Fonteinen",105,"Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,1000,55,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",203,"Drie Fonteinen Hommage","Lambic - Fruit","6.00%",4.37,845,56,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",97,"Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,702,29,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",133,"Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,645,20,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",72,"Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.48,126,118,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.",154,"Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1368,63,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij Rodenbach N.V.",248,"Alexander (2016)","Flanders Red Ale","5.60%",4.34,234,151,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV",134,"St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9338,68,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",16,"Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6184,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",76,"Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2104,177,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery",234,"Buxton / Omnipollo Yellow Belly","American Double / Imperial Stout","11.00%",4.36,333,160,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub",184,"Cascade Sang Noir","American Wild Ale","9.50%",4.39,1624,74,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing",107,"Decoherence","American Double / Imperial Stout","12.90%",4.45,173,100,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",52,"Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4009,172,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",103,"Caffè Americano","American Double / Imperial Stout","11.00%",4.45,961,26,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",8,"Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1352,31,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes",232,"Breakfast Exorcism","American Double / Imperial Stout","11.00%",4.36,321,148,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company",140,"Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1424,61,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company",83,"Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3059,135,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing",128,"The Broken Truck","Gueuze","5.00%",4.43,141,80,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing",117,"Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.44,190,95,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery",71,"The Abyss","American Double / Imperial Stout","12.20%",4.48,6879,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing",84,"Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,591,168,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing",123,"Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1545,36,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon",146,"Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1971,87,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company",159,"Second Fiddle","American Double / Imperial IPA","8.20%",4.4,1685,59,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company",136,"Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1853,103,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company",121,"Stickee Monkee","Quadrupel (Quad)","11.60%",4.43,2307,93,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",82,"Parabajava","Russian Imperial Stout","14.00%",4.47,612,170,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",100,"§ucaba","English Barleywine","12.50%",4.45,4940,184,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",39,"Parabola","Russian Imperial Stout","14.00%",4.53,6260,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company",167,"Epiphany","American Double / Imperial IPA","8.00%",4.4,841,30,"1 Industrial Way?","","Portland","ME","4103"
"Founders Brewing Company",14,"Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4268,195,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",29,"Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12035,106,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",79,"Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16241,109,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company",68,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,732,191,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",90,"The Rusty Nail","American Double / Imperial Stout","13.20%",4.46,174,125,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",233,"Bourbon Abominable Winter Ale","American Strong Ale","14.00%",4.36,1039,54,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",165,"Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.4,539,156,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",129,"Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.43,423,156,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",111,"Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.44,164,115,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Funky Buddha Brewery",28,"Morning Wood","American Porter","12.00%",4.56,646,194,"1201 NE 38th St","","Oakland Park","FL","33334"
