"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1009,63,"160 E Hill Rd","","Monson","MA","1057"
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.72,553,183,"310 College Dr","","Decorah","IO","52101"
3,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.67,194,141,"215 Arch St","","Meadville","PA","16335"
4,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,730,24,"160 E Hill Rd","","Monson","MA","1057"
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,528,169,"160 E Hill Rd","","Monson","MA","1057"
6,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2991,178,"725 4th St","","Santa Rosa","CA","95404"
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.65,1063,51,"310 College Dr","","Decorah","IO","52101"
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1373,27,"3924 W Spruce St","","Tampa","FL","33607"
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,13036,55,"35 Crossroad","","Waterbury","VT","5676"
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1457,91,"9750 Indiana Pkwy","","Munster","IN","46321"
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,369,155,"160 E Hill Rd","","Monson","MA","1057"
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1894,72,"525 US Route 1","","Freeport","ME","4032"
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3305,131,"160 E Hill Rd","","Monson","MA","1057"
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4283,184,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
