"Rank","Beer","Brewery","Location","Country","Portfolio"
"1.","Russian River Pliny the Elder",NA,NA,NA,NA
"2.","Bell’s Two Hearted Ale",NA,NA,NA,NA
"3.","The Alchemist Heady Topper",NA,NA,NA,NA
"4.","Ballast Point Sculpin IPA",NA,NA,NA,NA
"5.","Ballast Point Grapefruit Sculpin IPA",NA,NA,NA,NA
"6.","Founders Breakfast Stout",NA,NA,NA,NA
"7.","Three Floyds Zombie Dust",NA,NA,NA,NA
"8.","Bell’s Hopslam Ale",NA,NA,NA,NA
"9.","Goose Island Bourbon County Brand Stout",NA,NA,NA,NA
"T10.","Deschutes Fresh Squeezed IPA",NA,NA,NA,NA
"T10.","Stone Enjoy By IPA",NA,NA,NA,NA
"12.","Founders KBS (Kentucky Breakfast Stout)",NA,NA,NA,NA
"13.","Sierra Nevada Pale Ale",NA,NA,NA,NA
"14.","Lawson’s Finest Liquids Sip of Sunshine",NA,NA,NA,NA
"15.","Dogfish Head 90 Minute IPA",NA,NA,NA,NA
"T16.","Founders All Day IPA",NA,NA,NA,NA
"T16.","Sierra Nevada Celebration",NA,NA,NA,NA
"18.","Cigar City Jai Alai IPA",NA,NA,NA,NA
"19.","Boulevard Tank 7 Farmhouse Ale",NA,NA,NA,NA
"20.","Firestone Walker Wookey Jack",NA,NA,NA,NA
"21.","Arrogant Bastard Ale",NA,NA,NA,NA
"22.","Lagunitas Little Sumpin’ Sumpin’",NA,NA,NA,NA
"23.","Deschutes Black Butte Porter",NA,NA,NA,NA
"T24.","Left Hand Milk Stout Nitro",NA,NA,NA,NA
"T24.","Tröegs Nugget Nectar",NA,NA,NA,NA
"26","Firestone Walker Union Jack",NA,NA,NA,NA
"T27.","Founders Backwoods Bastard",NA,NA,NA,NA
"T27.","Russian River Blind Pig IPA",NA,NA,NA,NA
"T29.","Lagunitas IPA",NA,NA,NA,NA
"T29.","Odell IPA",NA,NA,NA,NA
"T29.","Russian River Consecration",NA,NA,NA,NA
"32.","Sierra Nevada Torpedo Extra IPA",NA,NA,NA,NA
"33.","Tree House Julius",NA,NA,NA,NA
"T34.","Ballast Point Victory at Sea",NA,NA,NA,NA
