Brewery,Street,Street2,City,State,Zip,Latitude,Longitude
3 Floyds Brewing Company,9750 Indiana Pkwy,,Munster,IN,46321,41.5353502,-87.5165134
4 Hands Brewing Company,1220 S 8th St,,St. Louis,MO,63104,38.61512727,-90.19651874
Aeronaut Brewing Company,14 Tyler St,,Somerville,MA,2143,42.3820176,-71.1085094
Against The Grain Brewery and Smokehouse,401 East Main St.,,Louisville,KY,40202,39.4480214,-123.8059045
Alaskan Brewing Company,5429 Shaune Dr,,Juneau,AK,99801,58.3570506,-134.4893335
AleSmith Brewing Company,9990 AleSmith Ct,,San Diego,CA,92126,32.888186,-117.1498484
Allagash Brewing Company,50 Industrial Way,,Portland,ME,4103,43.7031477,-70.3198819
Almanac Beer Company,2704 24th St,,San Francisco,CA,94110,37.7601367,-122.4057696
Alpine Beer Company,2363 Alpine Blvd,,Alpine,CA,91901,38.61512727,-90.19651874
American Solera,1801 S 49th W Ave,,Tulsa,OK,74107,36.1375705,-96.0487527
Anchorage Brewing Company,148 West 91st Ave?,,Anchorage,AK,99515,32.834679,-116.762684
Angry Chair Brewing,6401 N Florida Ave,,Tampa,FL,33604,28.0051338,-82.4614774
Asheville Brewing Company,77 Coxe Avenue,,Asheville,NC,28804,35.596467,-82.5616116
Aslin Beer Company,1330 N Forest St,,Bellingham,WA,98225,61.1385354,-149.8893299
August Schell Brewing Company,1860 Schell's Rd,,New Ulm,MN,56073,44.2896307,-94.4511625
Avery Brewing Company,4910 Nautilus Ct,,Boulder,CO,80301,48.74801531,-122.4754509
Ballast Point Brewing Company,9045 Carroll Way,,San Diego,CA,92121,32.88798083,-117.1587251
Barrel House Z (BHZ),95 Woodrock Rd,,East Weymouth,MA,2189,42.192475,-70.9300517
Barrier Brewing Company,3001 New St ,A2,Oceanside,NY,11572,40.6392062,-73.6583057
Baxter Brewing Company,130 Mill St,,Lewiston,ME,4240,44.0952036,-70.2213117
Bayerische Staatsbrauerei Weihenstephan,Alte Akademie 2,,Freising,Germany,85354,32.88798083,-117.1587251
Beachwood BBQ and Brewing,210 E. Third St.,,Long Beach,CA,90802,33.7699576,-118.1930917
Bearded Iris Brewing,101 Van Buren St,,Nashville,TN,37208,36.1813046,-86.786279
Belching Beaver Brewery,980 Park Center Dr,,Vista,CA,92081,33.1450269,-117.2311713
"Bell's Brewery, Inc.",355 E. KALAMAZOO?AVE.,,Kalamazoo,MI,49007,42.2949875,-85.578566
Bissell Brothers Brewing Company,4 THOMPSONS PT,STE 108-109,Portland,ME,4102,43.65408501,-70.28896092
