Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40% ABV,4.72,870,56
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00% ABV,4.69,484,173
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00% ABV,4.68,747,32
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,11.00% ABV,4.66,2775,186
5,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00% ABV,4.66,11731,59
6,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20% ABV,4.63,1428,48
7,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60% ABV,4.62,4004,191
8,3 Floyds Brewing Co.,Bourbon Barrel Aged Vanilla Bean Dark Lord,Russian Imperial Stout,15.00% ABV,4.61,1316,91
9,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20% ABV,4.6,5775,14
10,Tree House Brewing Company,Julius,American IPA,6.80% ABV,4.6,2193,105
11,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00% ABV,4.6,13246,99
12,Goose Island Beer Co.,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40% ABV,4.59,6494,1
13,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30% ABV,4.58,228,143
14,Goose Island Beer Co.,Rare Bourbon County Brand Stout (2015),American Double / Imperial Stout,14.50% ABV,4.57,348,154
15,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30% ABV,4.57,304,164
16,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00% ABV,4.56,1108,193
17,Lawson's Finest Liquids,Sip Of Sunshine,American IPA,8.00% ABV,4.56,3339,117
18,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,11.20% ABV,4.56,10943,69
19,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20% ABV,4.56,2338,111
20,The Alchemist,Focal Banger,American IPA,7.00% ABV,4.55,1705,45
21,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00% ABV,4.55,1561,116
22,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00% ABV,4.54,1160,23
23,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00% ABV,4.54,1981,106
24,Funky Buddha Brewery,Morning Wood,American Porter,12.00% ABV,4.54,300,143
25,Tree House Brewing Company,Green,American IPA,7.60% ABV,4.54,1161,42
26,3 Floyds Brewing Co.,Zombie Dust,American Pale Ale (APA),6.20% ABV,4.53,9067,7
27,Firestone Walker Brewing Co.,Parabola,Russian Imperial Stout,14.00% ABV,4.53,5777,3
28,Trillium Brewing Company,Artaic,American Double / Imperial IPA,8.50% ABV,4.53,562,176
29,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50% ABV,4.51,261,158
