Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
1,Good Morning,Tree House Brewing Company,American Double / Imperial Stout,8.40%,4.72,1002,70
2,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.7,529,183
3,King Julius,Tree House Brewing Company,American Double / Imperial IPA,8.30%,4.67,704,27
4,Pliny The Younger,Russian River Brewing Company,American Double / Imperial IPA,10.25%,4.66,2978,185
5,Mornin' Delight,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.66,1010,55
6,Very Hazy,Tree House Brewing Company,American Double / Imperial IPA,8.60%,4.66,499,172
7,Heady Topper,The Alchemist,American Double / Imperial IPA,8.00%,4.66,12881,63
8,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.66,1325,27
9,King JJJuliusss,Tree House Brewing Company,American Double / Imperial IPA,8.40%,4.64,354,162
10,Dinner,Maine Beer Company,American Double / Imperial IPA,8.20%,4.63,1854,76
11,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Three Floyds Brewing Company,Russian Imperial Stout,15.00%,4.63,1439,95
12,Julius,Tree House Brewing Company,American IPA,6.80%,4.62,3174,136
13,Founders CBS Imperial Stout,Founders Brewing Company,American Double / Imperial Stout,10.60%,4.62,4256,189
14,Juice Machine,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.61,501,190
15,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.20%,4.61,6157,12
16,Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,8.00%,4.6,14096,98
17,Barrel-Aged Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,11.00%,4.6,1247,22
18,Fundamental Observation,Bottle Logic Brewing,American Double / Imperial Stout,14.30%,4.59,676,31
19,Very Green,Tree House Brewing Company,American Double / Imperial IPA,8.60%,4.59,468,158
20,King Sue,Toppling Goliath Brewing Company,American Double / Imperial IPA,8.00%,4.58,1611,60
21,Bourbon County Brand Coffee Stout,Goose Island Beer Company,American Double / Imperial Stout,13.40%,4.57,6878,3
22,JJJuliusss,Tree House Brewing Company,American IPA,6.80%,4.57,331,142
23,Morning Wood,Funky Buddha Brewery,American Porter,12.00%,4.57,547,179
24,Focal Banger,The Alchemist,American IPA,7.00%,4.56,2607,101
25,Abner,Hill Farmstead Brewery,American Double / Imperial IPA,8.20%,4.56,2515,115
26,Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,12.40%,4.56,11991,96
27,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.56,586,156
28,Sip Of Sunshine,Lawson's Finest Liquids,American Double / Imperial IPA,8.00%,4.55,4279,137
29,Green,Tree House Brewing Company,American IPA,7.60%,4.55,2011,91
30,Citra,Kern River Brewing Company,American Double / Imperial IPA,8.00%,4.55,1671,118
31,Ann,Hill Farmstead Brewery,Saison / Farmhouse Ale,6.50%,4.55,333,168
32,Double Dry Hopped Congress Street,Trillium Brewing Company,American IPA,7.20%,4.54,883,16
33,Doppelganger,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.54,807,21
34,Double Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8.00%,4.54,2105,108
35,Alter Ego,Tree House Brewing Company,American IPA,6.80%,4.53,1566,76
36,Triple Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,10.50%,4.53,571,142
37,Parabola,Firestone Walker Brewing Company,Russian Imperial Stout,14.00%,4.53,6226,4
38,Zombie Dust,Three Floyds Brewing Company,American Pale Ale (APA),6.20%,4.52,9785,8
39,Double Galaxy,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.52,1287,71
40,Resolute - Coconut,Brothers Craft Brewing,American Double / Imperial Stout,13.50%,4.52,181,134
