"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1005,72
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,532,187
3,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.67,183,154
4,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,718,28
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,513,179
6,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2985,189
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,1031,57
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1352,31
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.66,12963,65
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1448,104
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,362,167
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1876,78
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3250,144
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4268,195
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,507,14
16,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6184,12
17,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,708,37
18,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14145,108
19,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1259,23
20,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,520,169
21,"Funky Buddha Brewery","Last Buffalo In The Park","American Porter","11.50%",4.57,413,156
22,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.57,1653,73
23,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,334,149
24,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,628,166
25,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.56,6920,3
26,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2519,126
27,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,338,174
28,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.56,646,194
29,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12035,106
30,"The Alchemist","Focal Banger","American IPA","7.00%",4.55,2732,113
31,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4324,146
32,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2075,101
33,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.55,925,20
34,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.54,872,27
35,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1712,128
36,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2106,117
37,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.54,577,151
38,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1623,82
39,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6260,4
40,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9835,8
41,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1070,39
42,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1302,72
43,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2804,147
44,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.51,479,151
45,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.51,421,160
46,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.51,280,149
47,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.51,1767,85
48,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.51,991,39
49,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.5,1723,96
50,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,180,151
51,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,453,179
52,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4009,172
53,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.5,700,169
54,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11992,70
55,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6214,7
56,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1696,72
57,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1412,47
58,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,799,169
59,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.49,1058,188
60,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,770,90
61,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4121,158
62,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.49,4032,155
63,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1139,23
64,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1678,44
65,"Voodoo Brewing Company","Grande Negro Voodoo Papi - Bourbon Barrel Aged","American Double / Imperial Stout","12.50%",4.48,241,136
66,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,805,62
67,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1886,133
68,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,732,191
69,"Trillium Brewing Company","Cutting Tiles","American Double / Imperial IPA","8.50%",4.48,1006,40
70,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.48,5004,153
71,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6879,13
72,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.48,126,118
73,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,330,142
74,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,724,188
75,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5659,181
76,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2104,177
77,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.47,307,151
78,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,81
79,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16241,109
80,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9065,69
81,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,737,185
82,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.47,612,170
83,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3059,135
84,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,591,168
85,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.46,313,141
86,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.46,2142,123
87,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1689,121
88,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3790,162
89,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.46,964,79
90,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.46,174,125
91,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1433,51
92,"Funky Buddha Brewery","Wide Awake It's Morning","American Porter","10.00%",4.46,643,22
93,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2590,152
94,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1360,46
95,"Tree House Brewing Company","Doubleganger","American Double / Imperial IPA","8.20%",4.46,106,88
96,"Prairie Artisan Ales","Pirate Bomb!","American Double / Imperial Stout","14.00%",4.45,1910,71
97,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,702,29
98,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.45,4472,190
