"Rank","Beer","Brewery","Style","ABV","Rating","Ratings","Reviews"
1,"Good Morning","Tree House Brewing Company","American Double / Imperial Stout","8.40%",4.72,1010,66
2,"Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00%",4.72,556,189
3,"ManBearPig","Voodoo Brewing Company","American Double / Imperial Stout","14.10%",4.67,195,145
4,"King Julius","Tree House Brewing Company","American Double / Imperial IPA","8.30%",4.67,733,25
5,"Very Hazy","Tree House Brewing Company","American Double / Imperial IPA","8.60%",4.66,529,173
6,"Pliny The Younger","Russian River Brewing Company","American Double / Imperial IPA","10.25%",4.66,2995,182
7,"Mornin' Delight","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00%",4.65,1066,53
8,"Hunahpu's Imperial Stout - Double Barrel Aged","Cigar City Brewing","American Double / Imperial Stout","11.00%",4.65,1376,31
9,"Heady Topper","The Alchemist","American Double / Imperial IPA","8.00%",4.65,13051,59
10,"Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Three Floyds Brewing Company","Russian Imperial Stout","15.00%",4.64,1459,98
11,"King JJJuliusss","Tree House Brewing Company","American Double / Imperial IPA","8.40%",4.64,371,160
12,"Dinner","Maine Beer Company","American Double / Imperial IPA","8.20%",4.63,1897,74
13,"Julius","Tree House Brewing Company","American IPA","6.80%",4.62,3315,134
14,"Founders CBS Imperial Stout","Founders Brewing Company","American Double / Imperial Stout","10.60%",4.62,4285,188
15,"Juice Machine","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.61,519,14
16,"Fundamental Observation","Bottle Logic Brewing","American Double / Imperial Stout","14.30%",4.61,730,34
17,"Barrel-Aged Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","11.00%",4.61,1268,22
18,"Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)","10.20%",4.61,6214,12
19,"Pliny The Elder","Russian River Brewing Company","American Double / Imperial IPA","8.00%",4.6,14201,95
20,"Very Green","Tree House Brewing Company","American Double / Imperial IPA","8.60%",4.6,577,179
21,"Bourbon County Brand Coffee Stout","Goose Island Beer Company","American Double / Imperial Stout","13.40%",4.57,6951,3
22,"King Sue","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00%",4.57,1695,70
23,"JJJuliusss","Tree House Brewing Company","American IPA","6.80%",4.57,338,139
24,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.57,653,160
25,"Morning Wood","Funky Buddha Brewery","American Porter","12.00%",4.56,706,16
26,"Ann","Hill Farmstead Brewery","Saison / Farmhouse Ale","6.50%",4.56,343,166
27,"Abner","Hill Farmstead Brewery","American Double / Imperial IPA","8.20%",4.56,2535,114
28,"Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company","American Double / Imperial Stout","12.40%",4.56,12083,93
29,"Sip Of Sunshine","Lawson's Finest Liquids","American Double / Imperial IPA","8.00%",4.56,4385,138
30,"Green","Tree House Brewing Company","American IPA","7.60%",4.55,2128,99
31,"Triple Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","10.50%",4.55,593,145
32,"Focal Banger","The Alchemist","American IPA","7.00%",4.55,2830,108
33,"Double Dry Hopped Congress Street","Trillium Brewing Company","American IPA","7.20%",4.54,958,20
34,"Citra","Kern River Brewing Company","American Double / Imperial IPA","8.00%",4.54,1724,118
35,"Doppelganger","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.54,915,27
36,"Alter Ego","Tree House Brewing Company","American IPA","6.80%",4.54,1677,79
37,"Double Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","8.00%",4.54,2108,106
38,"Double Dry Hopped PseudoSue (Citra)","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80%",4.53,366,155
39,"Parabola","Firestone Walker Brewing Company","Russian Imperial Stout","14.00%",4.53,6282,4
40,"Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery","American Double / Imperial Stout","11.00%",4.53,354,145
41,"Society & Solitude #4","Hill Farmstead Brewery","American Double / Imperial IPA","8.00%",4.53,1093,37
42,"Sunday Brunch","Kane Brewing Company","American Porter","9.20%",4.53,512,146
43,"Zombie Dust","Three Floyds Brewing Company","American Pale Ale (APA)","6.20%",4.52,9887,8
44,"Double Galaxy","Hill Farmstead Brewery","American Double / Imperial IPA","8.00%",4.52,1309,67
45,"Haze","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.52,1817,81
46,"Cantillon Fou' Foune","Brasserie Cantillon","Lambic - Fruit","5.00%",4.52,2820,136
47,"Duck Duck Gooze","The Lost Abbey","Gueuze","7.00%",4.51,1737,88
48,"Swish","Bissell Brothers Brewing Company","American Double / Imperial IPA","8.00%",4.51,1042,39
49,"Assassin Imperial Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00%",4.51,1098,15
50,"Headroom","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.5,424,153
51,"Master Of Karate","Aslin Beer Company","American Double / Imperial IPA","8.40%",4.5,196,146
52,"In Perpetuity","Tree House Brewing Company","American IPA","6.70%",4.5,457,171
53,"Hunahpu's Imperial Stout","Cigar City Brewing","American Double / Imperial Stout","11.00%",4.5,4035,163
54,"Bourbon County Brand Stout","Goose Island Beer Company","American Double / Imperial Stout","13.80%",4.5,12048,64
55,"Galaxy Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.5,1442,43
56,"Supplication","Russian River Brewing Company","American Wild Ale","7.00%",4.49,6237,7
57,"Double Citra","Hill Farmstead Brewery","American Double / Imperial IPA","8.00%",4.49,1698,66
58,"Double Shot","Tree House Brewing Company","American Stout","7.60%",4.49,811,162
59,"Fuzzy","Side Project Brewing","American Wild Ale","8.00%",4.49,712,162
60,"Doubleganger","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.49,157,101
61,"Cantillon Blåbær Lambik","Brasserie Cantillon","Lambic - Fruit","5.00%",4.49,775,83
62,"Double Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.49,1185,24
63,"Drie Fonteinen Zenne Y Frontera","Brouwerij Drie Fonteinen","Lambic - Unblended","7.00%",4.49,132,111
64,"Bell's Black Note Stout","Bell's Brewery, Inc.","American Double / Imperial Stout","11.40%",4.49,4196,154
65,"Atrial Rubicite","Jester King Brewery","American Wild Ale","5.80%",4.48,1684,41
66,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company","American Strong Ale","14.00%",4.48,748,185
67,"Bourbon Barrel Aged Dark Lord Imperial Stout","Three Floyds Brewing Company","Russian Imperial Stout","15.00%",4.48,809,58
68,"Kuhnhenn Bourbon Barrel Fourth Dementia","Kuhnhenn Brewing Company","Old Ale","13.50%",4.48,1890,122
69,"The Rusty Nail","Fremont Brewing Company","American Double / Imperial Stout","13.20%",4.48,184,119
70,"PseudoSue","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80%",4.48,4093,148
71,"Bourbon County Brand Barleywine Ale","Goose Island Beer Company","English Barleywine","12.10%",4.48,5043,144
72,"The Abyss","Deschutes Brewery","American Double / Imperial Stout","12.20%",4.48,6928,13
73,"Scaled Way Up","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.47,331,132
74,"Cutting Tiles (Mosaic)","Trillium Brewing Company","American Double / Imperial IPA","8.50%",4.47,1064,39
75,"Notorious Triple IPA","Boneyard Beer Company","American Double / Imperial IPA","12.00%",4.47,737,181
76,"BOMB!","Prairie Artisan Ales","American Double / Imperial Stout","13.00%",4.47,5716,174
77,"BDCS","Ozark Beer Company","American Double / Imperial Stout","10.20%",4.47,312,143
78,"Trappist Westvleteren 8 (VIII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Dubbel","8.00%",4.47,2117,167
79,"Parabajava","Firestone Walker Brewing Company","Russian Imperial Stout","14.00%",4.47,644,165
80,"Ephraim","Hill Farmstead Brewery","American Double / Imperial IPA","10.00%",4.47,1010,77
81,"Cable Car","The Lost Abbey","American Wild Ale","7.00%",4.47,970,75
82,"Founders Breakfast Stout","Founders Brewing Company","American Double / Imperial Stout","8.30%",4.47,16317,96
83,"Fuzzy Baby Ducks IPA","New England Brewing Company","American IPA","6.20%",4.47,739,175
84,"Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)","11.30%",4.47,9096,63
85,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00%",4.47,604,161
86,"Beer Geek Vanilla Shake (Bourbon Edition)","Mikkeller ApS","American Double / Imperial Stout","13.00%",4.46,330,132
